2024-03-15 02:14:08 | INFO | 192.168.1.45 | /login | success
2024-03-15 08:25:00 | INFO | 192.168.1.10 | /reports | accessed
2024-03-15 08:40:00 | ERROR | 10.0.0.8 | /api/data | timeout
2024-03-15 08:55:00 | INFO | 192.168.1.45 | /profile | accessed
2024-03-15 09:00:00 | INFO | 192.168.1.10 | /logout | success
2024-03-15 09:05:00 | INFO | 192.168.1.20 | /login | success
2024-03-15 09:12:00 | WARN | 45.33.32.19 | /login | failed
2024-03-15 09:12:05 | WARN | 45.33.32.19 | /login | failed
2024-03-15 09:12:20 | INFO | 45.33.32.19 | /login | success
2024-03-15 09:15:00 | INFO | 45.33.32.19 | /search | accessed
2024-03-15 09:30:00 | ERROR | 45.33.32.19 | /api/upload | rejected
2024-03-15 09:45:00 | INFO | 10.0.0.5 | /dashboard | accessed
2024-03-15 10:00:00 | INFO | 172.16.0.3 | /login | success
2024-03-15 10:15:00 | INFO | 192.168.1.45 | /reports | accessed
2024-03-15 10:30:00 | WARN | 192.168.1.10 | /api/data | slow
2024-03-15 10:45:00 | INFO | 10.0.0.8 | /logout | success
2024-03-15 11:00:00 | FATAL | 10.0.0.5 | /db | connection_lost
2024-03-15 11:05:00 | INFO | 192.168.1.20 | /dashboard | accessed
2024-03-15 11:20:00 | INFO | 192.168.1.10 | /profile | accessed
2024-03-15 11:35:00 | ERROR | 172.16.0.3 | /api/data | timeout
2024-03-15 11:50:00 | INFO | 192.168.1.45 | /logout | success

2024-03-15 12:00:00 | INFO | 192.168.1.20 | /login | success
2024-03-15 12:15:00 | INFO | 10.0.0.8 | /reports | accessed
2024-03-15 12:30:00 | WARN | 172.16.0.3 | /login
2024-03-15 12:45:00 | INFO | 10.0.0.5 | /dashboard | accessed
2024-03-15 13:00:00 | INFO | 192.168.1.10 | /login | success
2024-03-15 13:20:00 | INFO | 192.168.1.45 | /reports | accessed
2024-03-15 13:40:00 | WARN | 45.33.32.19 | /api/upload | rejected
2024-03-15 13:50:00 / WARN / 45.33.32.19 / /login / failed
2024-03-15 14:00:00 | INFO | 172.16.0.3 | /dashboard | accessed
2024-03-15 14:15:00 | DEBUG | 192.168.1.20 | /health | ok
2024-03-15 14:30:00 | INFO | 10.0.0.8 | /profile | accessed
2024-03-15 14:45:00 | ERROR | 192.168.1.10 | /api/data | timeout
2024-03-15 15:00:00 | INFO | 192.168.1.45 | /login | success
2024-03-15 15:15:00 | INFO | 192.168.1.20 | /reports | accessed
2024-03-15 15:30:00 | INFO | 10.0.0.5 | /logout | success
2024-03-15 15:45:00 | WARN | 198.51.100.7 | /login | failed
2024-03-15 16:00:00 | INFO | 172.16.0.3 | /profile | accessed
2024-03-15 16:20:00 | INFO | 192.168.1.10 | /dashboard | accessed
2024-03-15 16:40:00 | INFO | 10.0.0.8 | /login | success
2024-03-15 17:00:00 | INFO | 192.168.1.45 | /logout | success
2024-03-15 18:00:00 | INFO | 192.168.1.20 | /logout | success
2024-03-15 19:30:00 | WARN | 203.0.113.42 | /login | failed
2024-03-15 19:30:05 | INFO | 203.0.113.42 | /login | success
2024-03-15 19:31:00 | ALERT | 203.0.113.42 | /etc/passwd | read
2024-03-15 19:35:00 | ALERT | 203.0.113.42 | /root/.ssh | accessed
2024-03-15 20:00:00 | INFO | 10.0.0.5 | /login | success
bad-timestamp-here | ERROR | 45.33.32.19 | /api/upload | rejected
2024-03-15 21:00:00 | WARN | 45.33.32.19 | /api/upload | rejected
2024-03-15 22:00:00 | TRACE | 10.0.0.8 | /debug | trace
2024-03-15 22:30:00 | INFO | 172.16.0.3 | /logout | success
2024-03-15 23:00:00 | warn | 198.51.100.7 | /login | failed
2024-03-15 23:15:00 | INFO | 192.168.1.10 | /logout | success
2024-03-15 23:30:00 | INFO | 192.168.1.45 | /logout | success
